query,matched_name,matched_status,query_match_taxon_agree,use_query_as_synonym,use_query_as_accepted,use_query_as_new,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Dryopteris chichisimensis Nakai ex H.Ito,Dryopteris chichishimensis Nakai ex H. Itô,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris insularis var. chichisimensis (Nakai ex H.Ito) H.Ito,Dryopteris insularis var. chichishimensis (Nakai ex Itô) Itô,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris liankwangensis Ching,Dryopteris liangkwangensis Ching,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris liankwangensis Ching,Dryopteris likiangensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris liankwangensis Ching,Dryopteris sanmingensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris liankwangensis Ching,Dryopteris huanglungensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris liankwangensis Ching,Dryopteris nakanensis Ching,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris sabae (Franch. & Sav.) C.Chr.,Dryopteris laxa (Franch. & Sav.) C. Chr.,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris saxifragivaria Nakai,Dryopteris ×  saxifragi-varia Nakai,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris sublacera H.Christ,Dryopteris subramosa Christ,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris transmorrisonensis (Hayata) Hayata,Dryopteris morrisonensis (Hayata) Hayata,synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Dryopteris tsutsuiana Sa.Kurata,Dryopteris ×  satsumana Kurata,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum backhousianum T.Moore,Elaphoglossum backhouseanum T. Moore,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum dendricola (Baker) Christ,Elaphoglossum dendricolum (Baker) Christ,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum herminieri (Bory & Fee) T.Moore,Elaphoglossum lherminieri (Bory ex Fée) T. Moore,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum ovalilimbatum Bonap.,Elaphoglossum ovatilimbatum Bonap.,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum variabile A.Rojas,Elaphoglossum maritzae A. Rojas,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum variabile A.Rojas,Elaphoglossum adrianae A. Rojas,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum variabile A.Rojas,Elaphoglossum caridadae A. Rojas,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Elaphoglossum variabile A.Rojas,Elaphoglossum karinae A. Rojas,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Gaga kauflussii (Kunze) F.W.Li & Windham,Gaga kaulfussii (Kunze) Fay W. Li & Windham,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Goniophlebium mehibitense (C.Chr.) Parris,Goniophlebium mehipitense (C. Chr.) Parris,accepted,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
Grammitis limbata Fée,Grammitis nana Fée,ambiguous synonym,FALSE,0,0,0,NA,NA,spelling mistake in species name,NA
