query,matched_name,matched_status,query_match_taxon_agree,dist,use_query_as_synonym,use_query_as_accepted,use_query_as_new,taxonomicStatus,namePublishedIn,nameAccordingTo,taxonRemarks,notes
Dryopteris saxifragivaria Nakai,Dryopteris ×  saxifragi-varia Nakai,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Dryopteris sublacera H.Christ,Dryopteris subramosa Christ,synonym,FALSE,6,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Dryopteris transmorrisonensis (Hayata) Hayata,Dryopteris morrisonensis (Hayata) Hayata,synonym,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Elaphoglossum backhousianum T.Moore,Elaphoglossum backhouseanum T. Moore,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Elaphoglossum dendricola (Baker) Christ,Elaphoglossum dendricolum (Baker) Christ,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Elaphoglossum herminieri (Bory & Fee) T.Moore,Elaphoglossum lherminieri (Bory ex Fée) T. Moore,accepted,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Elaphoglossum ovalilimbatum Bonap.,Elaphoglossum ovatilimbatum Bonap.,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Gaga kauflussii (Kunze) F.W.Li & Windham,Gaga kaulfussii (Kunze) Fay W. Li & Windham,accepted,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Goniophlebium mehibitense (C.Chr.) Parris,Goniophlebium mehipitense (C. Chr.) Parris,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Humata anderssonii (Mett.) C.Chr.,Humata andersonii (Mett.) C. Chr.,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Humata tyermanii T.Moore,Humata tyermannii T. Moore,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Hymenophyllum acanthoides Bosch,Hymenophyllum adiantoides Bosch,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Hymenophyllum caespitosa Gaudich.,Hymenophyllum caespitosum Gaudich.,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Hymenophyllum riukiuense H.Christ,Hymenophyllum liukiuense Christ,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lellingeria mitchellae (Baker ex Hemsl.) A.R.Sm. & R.C.Morancies,Lellingeria mitchelliae (Baker ex Hemsl.) A. R. Sm. & R. C. Moran,synonym,FALSE,9,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lellingeria pseudomitchelliae (Lellinger) A.R.Sm. & R.C.Moran,Lellingeria pseudomitchellae (Lellinger) A. R. Sm. & R. C. Moran,synonym,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lepisorus hsiaowutaiensis Ching & S.K.Wu,Lepisorus hsiawutaiensis Ching & S. K. Wu,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lepisorus xiphiopteris (Baker) W.M.Chu ex Y.X.Lin,Lepisorus xiphopteris (Baker) W. M. Chu ex Y. X. Lin,synonym,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lindsaea blanda Kuhn,Lindsaea repanda Kunze,accepted,FALSE,6,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lindsaea millefolia K.U.Kramer,Lindsaea millefolium K. U. Kramer,synonym,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Lygodium circinatum (Burm.f.) Sw.,Lygodium circinnatum (Burm. fil.) Sw.,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
"Mankyua chejuensis B.Y.Sun, M.H.Kim & C.H.Kim","Mankyua chejuense B. Y. Sun, M. H. Kim & C. H. Kim",accepted,FALSE,8,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Microgramma vacciniifolia (Langsd. & Fisch.) Copel.,Microgramma vaccinifolia (Langsd. & Fisch.) Copel.,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Myriopteris lendigera (Cav.) Fee,Myriopteris lentigera (Cav.) Fée,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Ophioderma redactophyllum Chantanaorr. & Li Bing Zhang,Ophioderma redactophylla Chantanaorr. & Li Bing Zhang,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Oreopteris quelpaertensis (H.Christ) Holub,Oreopteris quelpartensis (Christ) Holub,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Paesia rugulosa (Labill.) Kuhn,Paesia rugosula (Labill.) Kuhn,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Paradavallodes kansuensis Ching,Paradavallodes kansuense Ching,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
"Parapolystichum microsorum subsp. pentangulare (Colenso) Labiak, Sundue & R.C.Moran","Parapolystichum microsorum subsp. pentagulare (Colenso) Labiak, Sundue & R. C. Moran",accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Parapolystichum novoguineensis (Holttum) Sundue & Testo,Parapolystichum novoguineense (Holttum) Sundue & Testo,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
"Parapolystichum windsorensis (D.L.Jones & B.Gray) Labiak, Sundue & R.C.Moran","Parapolystichum windsorense (D. L. Jones & B. Gray) Labiak, Sundue & R. C. Moran",accepted,FALSE,7,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pecluma oranensis (de la Sota) de la Sota,Pecluma oranense (de la Sota) de la Sota,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pecluma ptilodon var. robusta (Fee) Lellinger,Pecluma ptilotos var. robusta (Fée) Lellinger,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pecluma ptilotos (Kunze) M.G.Price,Pecluma ptilota (Kunze) M. G. Price,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Physematium manchuriense (Hook.) Nakai,Physematium manchuriensis (Hook.) Nakai,accepted,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Platycerium hillii T.Moore,Platycerium willinckii Moore,synonym,FALSE,7,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pleopeltis murorum (Hook.) A.R.Sm. & Tejero,Pleopeltis murora (Hook.) A. R. Sm. & Tejero,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pleopeltis polypodioides var. acicularis (Weath.) E.G.Andrews & Windham,Pleopeltis polypodioides var. aciculare (Weath.) E. G. Andrews & Windham,synonym,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Polypodium wiesbaueri Sodiro,Polypodium wiesbaurii Sodiro,synonym,FALSE,2,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Polystichum erosum Ching,Polystichum grande Ching,ambiguous synonym,FALSE,5,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Polystichum lilianiae,Polystichum liui Ching,accepted,FALSE,6,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pseudocyclosorus tuberculifer (C.Chr.) Ching,Pseudocyclosorus tuberculiferus (C. Chr.) Ching,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pseudophegopteris yunkweiensis (Ching) Ching,Pseudophegopteris yunkweinensis (Ching) Ching,synonym,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pteris assamica Fraser-Jenk.,Pteris andamanica Fraser-Jenk.,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pteris cadieri H.Christ,Pteris radicans Christ,synonym,FALSE,7,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pteris lydgatei (Baker) H.Christ,Pteris lidgatii (Baker) Christ,accepted,FALSE,4,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pteris mcclurei Ching,Pteris maclurei Ching,synonym,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pteris ottaria Bedd.,Pteris otaria Bedd.,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pyrrosia martini (H.Christ) Ching,Pyrrosia martinii (Christ) Ching,synonym,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pyrrosia matsudae (Hayata) Tagawa,Pyrrosia matsudai (Hayata) Tagawa,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Pyrrosia nummulariifolia (Sw.) Ching,Pyrrosia nummularifolia (Sw.) Ching,accepted,FALSE,1,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
Sadleria souleytiana (Gaudich.) T.Moore,Sadleria souleyetiana (Gaudich.) Moore,accepted,FALSE,3,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
"Selliguea albipes (C.Chr. & Ching) S.G.Lu, Hovenkamp & M.G.Gilbert","Selliguea albopes (C. Chr. & Ching) S. G. Lu, Hovenkamp & M. G. Gilbert",synonym,FALSE,6,0,0,0,NA,NA,NCBI,spelling mistake in species name,NA
